詞目id,義項id,例句順序,漢字,羅馬字,華語,音檔檔名
1,1,1,一蕊花,tsi̍t luí hue,一朵花,1-1-1
1,2,1,紅嬰仔哭甲一身軀汗。,Âng-enn-á khàu kah tsi̍t sin-khu kuānn.,小嬰兒哭得滿身大汗。,1-2-1
1,3,1,一睏仔,tsi̍t-khùn-á,一下子,1-3-1
1,3,2,一絲仔,tsi̍t-si-á,一點點,1-3-2
2,5,1,一流,it-liû,一流,2-2-1
2,6,1,𪜶兩个生做一模一樣。,In nn̄g ê senn-tsò it-bôo-it-iūnn.,他們兩個長得一模一樣。,2-3-1
2,7,1,一生,it-sing,一生,2-4-1
2,7,2,一向,it-hiòng,一向,2-4-2
3,8,1,𪜶兩兄弟仔為著拚生理，就按呢一刀兩斷無來去。,"In nn̄g hiann-tī-á uī-tio̍h piànn-sing-lí, tō án-ne it-to-lióng-tuān bô lâi-khì.",他們兄弟倆為了拚生意，就這樣斷絕關係，不相往來。,3-1-1
4,9,1,小等一下。,Sió-tán--tsi̍t-ē.,稍等一會兒。,4-1-1
4,10,1,老母一下死，囡仔就大聲吼。,"Lāu-bú tsi̍t-ē sí, gín-á tō tuā-siann háu.",媽媽一死，小孩子就大聲的哭。,4-2-1
4,11,1,氣一下袂講話。,Khì tsi̍t-ē bē kóng-uē.,氣得說不出話來。,4-3-1
5,12,1,你一月日趁偌濟錢？,Lí tsi̍t gue̍h-ji̍t thàn guā-tsē tsînn?,你一個月賺多少錢？,5-1-1
6,13,1,你毋好一日到暗拋拋走。,Lí m̄-hó tsi̍t-ji̍t-kàu-àm pha-pha-tsáu.,你不要一天到晚四處亂跑。,6-1-1
7,14,1,我一世人毋捌做過對不起別人的代誌。,Guá tsi̍t-sì-lâng m̄ bat tsò-kuè tuì-put-khí pa̍t-lâng ê tāi-tsì.,我一輩子不曾做過對不起他人的事。,7-1-1
8,15,1,買果子的錢，一人愛出一半。,"Bé kué-tsí ê tsînn, tsi̍t lâng ài tshut tsi̍t-puànn.",買水果的錢，一人要出一半。,8-1-1
8,16,1,塗跤一半擺仔無拭，袂偌垃圾啦！,"Thôo-kha tsi̍t-puànn-pái-á bô tshit, bē guā lah-sap--lah!",地板一兩次沒擦，不會多髒啦！,8-2-1
9,17,1,有一半个仔人客真𠢕嫌東嫌西。,Ū tsi̍t-puànn-ê-á lâng-kheh tsin gâu hiâm-tang-hiâm-sai.,有一兩個客人很會嫌東嫌西。,9-1-1
10,18,1,頭家人真好，我一半日仔無去，伊嘛袂按怎。,"Thâu-ke lâng tsin hó, guá tsi̍t-puànn-ji̍t-á bô khì, i mā bē án-tsuánn.",老闆人真好，我一兩天沒去，他也不會怎樣。,10-1-1
11,19,1,物件毋通掖甲一四界。,Mi̍h-kiānn m̄-thang iā kah tsi̍t-sì-kè.,東西不要撒得滿地都是。,11-1-1
12,20,1,一旦地動，彼間厝就會倒。,"It-tàn tē-tāng, hit king tshù tō ē tó.",一旦地震，那間房子就會倒。,12-1-1
12,21,1,毀於一旦,huí î it-tàn,毀於一旦,12-2-1
13,22,1,你毋通放蕩過一生。,Lí m̄-thang hòng-tōng kuè it-sing.,你不要放蕩過一生。,13-1-1
13,22,2,做教授是我一生的願望。,Tsò kàu-siū sī guá it-sing ê guān-bōng.,當教授是我一生的願望。,13-1-2
14,24,1,對阮厝到公司，行路一目𥍉仔就到矣。,"Tuì guán tshù kàu kong-si, kiânn-lōo tsi̍t-ba̍k-nih-á tō kàu--ah.",從我家裡到公司，走路只要一眨眼的時間就可以到了。,14-1-1
14,24,2,一目𥍉仔大學四年就過去矣。,Tsi̍t-ba̍k-nih-á tāi-ha̍k sì nî tō kuè--khì--ah.,一轉眼大學四年就過去了。,14-1-2
17,27,1,一來我無時間，二來我無興趣，所以我無欲參加。,"It--lâi guá bô sî-kan, jī--lâi guá bô hìng-tshù, sóo-í guá bô beh tsham-ka.",一來我沒時間，二來我沒興趣，所以我沒有要參加。,17-1-1
18,28,1,你講過的話，一定愛會記得。,"Lí kóng--kuè ê uē, it-tīng ài ē-kì--tit.",你說過的話一定要記得。,18-1-1
18,29,1,伊食飯攏無一定的時間。,I tsia̍h-pn̄g lóng bô it-tīng ê sî-kan.,他吃飯時間不固定。,18-2-1
19,30,1,一直向前行，毋免轉斡。,"It-ti̍t hiòng-tsiân kiânn, m̄-bián tńg-uat.",一直向前走過去，不用轉彎。,19-1-1
19,31,1,阿美一直咧掃塗跤，攏無歇睏。,"A-bí it-ti̍t teh sàu thôo-kha, lóng bô hioh-khùn.",阿美一直在掃地，都沒有休息。,19-2-1
20,32,1,伊對伊的學生一律攏真嚴格。,I tuì i ê ha̍k-sing it-lu̍t lóng tsin giâm-keh.,他對他的學生一律都很嚴格。,20-1-1
21,33,1,伊佮我的看法並無一致。,I kah guá ê khuànn-huat pīng bô it-tì.,他跟我的看法並不一致。,21-1-1
22,34,1,伊一面做工，一面讀冊。,"I tsi̍t-bīn tsò-kang, tsi̍t-bīn tha̍k-tsheh.",他一邊工作，一邊讀書。,22-1-1
22,35,1,一面抹壁雙面光。,Tsi̍t-bīn buah-piah siang-bīn kng.,用抹刀抹牆壁，不但牆壁光滑，連抹刀也光滑。形容人很會做人，雙方面都能討好。,22-2-1
24,37,1,伊食一屑仔飯爾爾。,I tsia̍h tsi̍t-sut-á pn̄g niā-niā.,他吃一點點飯而已。,24-1-1
25,38,1,𪜶一家伙仔對人攏真客氣。,In tsi̍t-ke-hué-á tuì lâng lóng tsin kheh-khì.,他們一家子對人都很客氣。,25-1-1
26,39,1,一般人攏真愛面子。,It-puann lâng lóng tsin ài bīn-tsú.,一般人都很愛面子。,26-1-1
27,40,1,這擺欲替伊開刀的醫生攏是一粒一的。,Tsit pái beh thè i khui-to ê i-sing lóng sī it-lia̍p-it--ê.,這次為他開刀的醫生都是最好的。,27-1-1
27,41,1,阿英佮我是一粒一的好朋友。,A-ing kah guá sī it-lia̍p-it ê hó-pîng-iú.,阿英和我是最要好的朋友。,27-2-1
28,42,1,伊跤手真緊，穡頭一睏仔就做了矣。,"I kha-tshiú tsin kín, sit-thâu tsi̍t-khùn-á tō tsò-liáu--ah.",他的動作真快，工作一下子就做完了。,28-1-1
28,43,1,遮的物件伊做一睏仔共伊食了。,Tsia ê mi̍h-kiānn i tsò tsi̍t-khùn-á kā i tsia̍h-liáu.,這裡的東西他一口氣把它吃完。,28-2-1
29,44,1,眾人的意見伊一概反對。,Tsìng-lâng ê ì-kiàn i it-khài huán-tuì.,眾人的意見他一概反對。,29-1-1
30,45,1,祝恁一路平安。,Tsiok lín tsi̍t-lōo pîng-an.,祝福你們一路平安。,30-1-1
31,46,1,加減食一寡。,Ke-kiám tsia̍h--tsi̍t-kuá.,多少吃一點。,31-1-1
32,47,1,猶有一寡仔物件無整理。,Iáu-ū tsi̍t-kuá-á mi̍h-kiānn bô tsíng-lí.,還有一些東西沒整理。,32-1-1
33,48,1,藥仔食落去，到今一對時矣。,"Io̍h-á tsia̍h--lo̍h-khì, kàu-tann tsi̍t tuì-sî--ah.",藥吃下，到現在二十四小時了。,33-1-1
34,49,1,伊來一霎仔久就轉去矣。,I lâi tsi̍t-tiap-á-kú tō tńg--khì--ah.,他來一下子就回去了。,34-1-1
35,50,1,你才食一點仔物件哪會飽？,Lí tsiah tsia̍h tsi̍t-tiám-á mi̍h-kiānn ná ē pá?,你才吃一點點東西怎麼會飽？,35-1-1
38,54,1,甲乙丙丁,kah it piánn ting,甲乙丙丁,38-1-1
38,55,1,乙等,it tíng,乙等,38-2-1
39,56,1,甲乙丙丁,kah it piánn ting,甲乙丙丁,39-1-1
39,57,1,出丁,tshut-ting,生男孩子,39-2-1
40,59,1,七个人,tshit ê lâng,七個人,40-1-1
40,60,1,七老八老,tshit-lāu-peh-lāu,強調很老,40-2-1
40,60,2,七除八扣,tshit-tû-peh-khàu,計算時一再折扣，自總數中盡量減除。,40-2-2
41,63,1,十喙九尻川。,Tsa̍p tshuì káu kha-tshng.,形容人多嘴雜。,41-2-1
42,64,1,三教九流,sam-kàu-kiú-liû,三教九流,42-1-1
43,65,1,飯食了才食果子。,Pn̄g tsia̍h-liáu tsiah tsia̍h kué-tsí.,飯吃完再吃水果。,43-1-1
43,66,1,了解,liáu-kái,了解,43-2-1
43,67,1,了力,liáu-la̍t,白費力氣,43-3-1
43,67,2,了工,liáu-kang,白費功夫,43-3-2
43,68,1,了錢生理無人做。,Liáu-tsînn sing-lí bô lâng tsò.,賠錢生意沒人做。,43-4-1
43,69,1,講了真清楚。,Kóng liáu tsin tshing-tshó.,說得很清楚。,43-5-1
