詞目id,漢字,羅馬字
29,一概,it-kài
37,一觸久仔,tsi̍t-táu-kú-á
65,十二指腸,tsa̍p-jī-tsí-tn̂g/tsa̍p-lī-tsí-tn̂g
69,七夕,tshit-si̍k
74,刁工,tiau-kang
116,刁持,thiau-tî
117,刁故意,thiau-kòo-ì
122,人員,jîn-guân/lîn-guân
134,人參,jîn-sam/lîn-sam
134,人參,jîn-som/lîn-som
144,刁意故,tiau-ì-kòo
152,入學,ji̍p-ha̍k/li̍p-ha̍k
159,刁難,tiau-lân
160,人權,jîn-kuân/lîn-kuân
176,也,ā
179,凡,hān
224,上久,siāng-kú
244,小丑仔,siáu-thiúnn-á
255,土木,thóo-ba̍k
279,上加,siāng-ke
306,上好,siāng hó
307,也好,ā-hó
309,土地公,Thóo-lī-kong
346,小兒科,siáu-jî-kho/siáu-lî-kho
351,大姊,tuā-tsé
364,下昏,ē-hng
364,下昏,enn-hng
366,下昏暗,enn-hng-àm
373,上青苔,tshiūnn-tshenn-tî/tshiūnn-tshinn-tî
385,也是,ā sī
431,下晝,e-tàu
431,下晝,ēnn-tàu
432,下晡,e-poo
448,干焦,kan-tann
448,干焦,kan-ta
451,工程,kang-thîng
452,工程師,kang-thîng-su
456,土菝仔,thóo-pa̍t-á
461,山勢,suann-sì
463,下暗,enn-àm
475,大腹肚,tuā-bak-tóo
498,上緊,siāng kín
501,上蓋,siāng-kài
502,小說,siáu-suat
526,下頦,ē-huâi
527,大學,tuā-o̍h
528,小學,sió-o̍h
535,上頭仔,siāng-thâu-á
536,大頭拇,tuā-thâu-bó
542,上濟,siāng tsē/siāng tsuē
543,上聲,tsiūnn-siann
543,上聲,siōng-siann
550,下顎,ē-khok
550,下顎,ē-gok
614,內心,lāi-sim
634,內奶,lāi-lin
636,公母,kang-bú
676,內政,lāi-tsìng
696,內容,lāi-iông
710,不得了,put-tit-liáu
711,不得已,put-tit-í
720,內部,lāi-pōo
735,分開,pun-khui
756,內閣,lāi-koh
760,中學,tiong-o̍h
781,反,páinn
782,壬,jīm/līm
808,歹,phái
811,毛,moo
826,手下,tshiú-ē
837,天井,thian-tsénn/thian-tsínn
871,太平,thài-phîng
874,水母,tsuí-bú
878,欠用,khiàm-iōng
880,水田,tsuí-tiân
895,天地,thian-tē/thian-tuē
918,木耳,bo̍k-jí
918,木耳,bo̍k-mí
921,毋但,m̄-niā
932,木材,bo̍k-tshâi
948,方言,hong-gân
989,毋挃,m̄-ti̍nnh
1017,午時,ngóo-sî
1019,天時,thinn-sî
1021,毋捌,m̄ pat
1026,文書,bûn-si
1039,欠缺,khiàm-khuat
1047,心情,sim-tsiânn
1051,心爽,sin-sóng
1052,天理,thinn-lí
1057,文章,bûn-tsiong
1065,木麻黃,bo̍k-mâ-hông
1069,比喻,phí-jū/phí-lū
1094,天意,thian-ì
1108,歹腹肚,pháinn-bak-tóo
1114,毋過,m̄-kò
1114,毋過,m̄-kù
1130,手摺簿仔,tshiú-tsí-phōo-á
1156,文憑,bûn-pîn
1187,反輾轉,píng-lìn-tńg
1192,水雞,suí-ke/suí-kue
1203,手囊,tshiú-long
1228,牛奶,gû-lin
1229,牛母,gû-bú
