詞目id,漢字,羅馬字
364,下昏,i̋ng
366,下昏暗,ing-àm
628,今仔,ta̋nn
643,予伊,hoo
2506,早起時仔,tsái-sî-á
2894,佗位,tuē
2894,佗位,tueh
3538,來去,laih
3538,來去,la̋i
3569,亞鉛鉼,ân-phiánn
3569,亞鉛鉼,iân-phiánn
3570,亞鉛線,ân-suànn
3570,亞鉛線,iân-suànn
3984,拍毋見,phàng-kiàn
3984,拍毋見,phàng-kìnn
5016,昨昏,tsa̋ng
5096,查某𡢃,tsa̋u-kán
5097,查某人,tsa̋u-lâng
5098,查某囝,tsa̋u-kiánn
5099,查某囡仔,tsa̋u-gín-á
5101,查某孫,tsa̋u-sun
5103,查某間,tsa̋u-king
5902,差不多,tsha̋u-to
5902,差不多,tsha̋u
7082,啥人,siáng
7082,啥人,siâng
8306,就按呢,tsua̋n-ne
8306,就按呢,tsua̋n
8623,無要緊,bua̋-kín
8650,無愛,buaih
9411,嫁查某囝,kè tsa̋u-kiánn
9893,落去,lueh
10653,爾爾,niâ
13668,孤查某囝,koo-tsa̋u-kiánn
28299,曷有一个,a̍h-tsê
28299,曷有一个,āu-tsê
