漢字,羅馬字,建議順序,類型
九,kiú,1,文
九,káu,2,白
八,pat,1,文
八,peh,2,白
八,pueh,3,白
力,li̍k,1,文
力,la̍t,2,白
十,si̍p,1,文
十,tsa̍p,2,白
三,sam,1,文
三,sann,2,白
上,siōng,1,文
上,siāng,2,文
上,tsiūnn,3,白
上,tsiōnn,4,白
下,hā,1,文
下,ē,2,白
千,tshian,1,文
千,tshing,2,白
于,û,1,甘
于,î,2,甘
于,u,3,甘
于,i,4,甘
大,tāi,1,文
大,tuā,2,白
女,lú,1,文
女,lí,2,文
子,tsú,1,文
子,tsí,2,白
小,sió,1,白
小,siáu,2,文
山,san,1,文
山,suann,2,白
工,kong,1,文
工,kang,2,白
己,kí,1,文
中,tiong,1,文
中,tiòng,2,文
中,tìng,3,白
五,ngóo,1,文
五,gōo,2,白
內,luē,1,文
內,lāi,2,訓
公,kong,1,文
公,kang,2,白
六,lio̍k,1,文
六,la̍k,2,白
分,hun,1,文
分,pun,2,白
升,sing,1,文
升,tsin,2,白
午,ngóo,1,文
午,gōo,2,白
反,huán,1,文
反,píng,2,白
反,páinn,3,白
反,puínn,4,白
天,thian,1,文
天,thinn,2,白
方,hong,1,文
方,hng,2,白
月,gua̍t,1,文
月,gue̍h,2,白
月,ge̍h,3,白
木,bo̍k,1,文
木,ba̍k,2,白
毛,môo,1,文
毛,mn̂g,2,白
水,tsuí,1,白
水,suí,2,文
牙,gâ,1,文
牙,gê,2,白
世,sè,1,文
世,sì,2,白
代,tāi,1,文
代,tē,2,白
功,kong,1,文
功,kang,2,白
加,ka,1,文
加,ke,2,白
半,puàn,1,文
半,puànn,2,白
可,khó,1,文
可,khónn,2,文
可,khuá,3,白
四,sù,1,文
四,sì,2,白
央,iong,1,文
央,iang,2,文
央,ng,3,白
平,pîng,1,文
平,pênn,2,白
平,pînn,3,白
未,bī,1,文
未,buē,2,白
未,bē,3,白
本,pún,1,文
本,pńg,2,白
正,tsìng,1,文
正,tsiànn,2,白
母,bió,1,文
母,bóo,2,文
母,bú,3,白
母,bó,4,白
玉,gio̍k,1,文
玉,gi̍k,2,白
生,sing,1,文
生,tshenn,2,白
生,tshinn,3,白
生,senn,4,白
生,sinn,5,白
用,iōng,1,文
用,īng,2,白
白,pi̍k,1,文
白,pe̍h,2,白
皮,phî,1,文
皮,phuê,2,白
皮,phê,3,白
目,bo̍k,1,文
目,ba̍k,2,白
石,tsio̍h,1,白
石,si̍k,2,文
先,sian,1,文
先,sing,2,白
光,kong,1,文
光,kng,2,白
光,kuinn,3,白
全,tsuân,1,文
全,tsn̂g,2,白
全,tsuînn,3,白
共,kiōng,1,文
共,kāng,2,白
合,ha̍p,1,文
合,ha̍h,2,白
同,tông,1,文
同,tâng,2,白
名,bîng,1,文
名,miâ,2,白
向,hiòng,1,文
向,hiàng,2,文
向,ǹg,3,白
地,tē,1,文
地,tuē,2,白
好,hó,1,白
好,hónn,2,文
好,hònn,3,文
守,siú,1,文
守,tsiú,2,白
安,an,1,文
安,uann,2,白
帆,huân,1,文
帆,phâng,2,白
年,nî,1,白
年,liân,2,文
成,sîng,1,文
成,tsiânn,2,白
成,siânn,3,白
有,iú,1,文
有,ū,2,白
死,sú,1,文
死,sí,2,白
老,nóo,1,文
老,ló,2,文
老,lóo,3,文
老,láu,4,文
老,lāu,5,白
耳,ní,1,文
耳,hīnn,2,白
耳,hī,3,白
肉,jio̍k,1,文
肉,lio̍k,2,文
肉,gio̍k,3,文
