漢字,羅馬字,建議順序,類型
九,Káu,1,
八,Pat,1,
八,Peh,2,
八,Pueh,3,
力,La̍t,1,
三,Sann,1,
上,Tsiūnn,1,
上,Tsiōnn,2,
下,Hā,1,
千,Tshian,1,
千,Tshing,2,
于,U,1,
于,I,2,
大,Tuā,1,
小,Siáu,1,
小,Sió,2,
山,San,1,
工,Kong,1,
工,Kang,2,
中,Tiong,1,
五,Ngóo,1,
五,Gōo,2,
內,Luē,1,
公,Kang,1,
午,Ngóo,1,
午,Gōo,2,
天,Thian,1,
天,Thinn,2,
方,Png,1,
方,Puinn,2,
月,Gue̍h,1,
月,Ge̍h,2,
木,Ba̍k,1,
毛,Môo,1,
水,Tsuí,1,
牙,Gê,1,
世,Sì,1,
代,Tāi,1,
加,Ka,1,
加,Ke,2,
可,Khó,1,
可,Khuá,2,
央,Iang,1,
央,Iong,2,
央,Ng,3,
平,Pîng,1,
本,Pún,1,
本,Pńg,2,
正,Tsiànn,1,
母,Bió,1,
母,Bóo,2,
玉,Gio̍k,1,
生,Tshenn,1,
生,Tshinn,2,
白,Pe̍h,1,
皮,Phuê,1,
皮,Phê,2,
目,Ba̍k,1,
石,Tsio̍h,1,
先,Sing,1,
光,Kng,1,
光,Kuinn,2,
全,Tsn̂g,1,
全,Tsuînn,2,
合,Ha̍p,1,
同,Tông,1,
同,Tâng,2,
名,Miâ,1,
向,Hiòng,1,
向,Ànn,2,
向,Hiàng,3,
守,Siù,1,
安,An,1,
安,Uann,2,
年,Liân,1,
成,Tshiânn,1,
有,Ū,1,
老,Lāu,1,
艾,Ngāi,1,
艾,Gāi,2,
艾,Hiānn,3,
衣,I,1,
西,Sai,1,
何,Hô,1,
佛,Hu̍t,1,
別,Piat,1,
利,Lī,1,
利,Lāi,2,
孝,Hà,1,
扶,Hû,1,
折,Tsiat,1,
折,Tsik,2,
折,Tsi̍h,3,
見,Kìnn,1,
初,Tshe,1,
初,Tshue,2,
呼,Hoo,1,
和,Huê,1,
和,Hê,2,
奇,Kî,1,
官,Kuann,1,
定,Tīng,1,
定,Tiānn,2,
庚,Kenn,1,
庚,Kinn,2,
性,Sènn,1,
性,Sìnn,2,
房,Pâng,1,
承,Sânn,1,台日
承,Sîng,2,甘
招,Tsio,1,
東,Tong,1,
東,Tang,2,
林,Lîm,1,
果,Kó,1,
果,Kóo,2,
知,Ti,1,
花,Hua,1,
表,Pió,1,
長,Tn̂g,1,
門,Bûn,1,
門,Mn̂g,2,
門,Muî,3,
雨,Ú,1,
雨,Hōo,2,
雨,Í,3,
青,Tshenn,1,
青,Tshinn,2,
城,Siânn,1,
封,Hong,1,
思,Su,1,
星,Tshenn,1,
星,Tshinn,2,
毒,To̍k,1,
泉,Tsuânn,1,
相,Siùnn,1,
相,Siònn,2,
眉,Bâi,1,
紅,Hông,1,
計,Kè,1,
郎,Lông,1,
郎,Nn̂g,2,
重,Tiông,1,
重,Tîng,2,
飛,Hui,1,
飛,Pue,2,
飛,Pe,3,
值,Ti̍t,1,
值,Ta̍t,2,
凍,Tòng,1,
員,Ūn,1,
夏,Hē,1,
夏,Hā,2,
宮,King,1,
家,Ke,1,
師,Su,1,
恩,Un,1,
恩,In,2,
書,Su,1,
書,Tsu,2,
書,Si,3,
桃,Thô,1,
留,Lâu,1,
草,Tsháu,1,
陣,Tsūn,1,
陣,Tīn,2,
馬,Má,1,
馬,Bé,2,
乾,Khiân,1,
假,Ká,1,
假,Ké,2,
唱,Tshiàng,1,
唱,Tshiòng,2,
唱,Tshiùnn,3,
得,Tik,1,
得,Tit,2,
從,Tsiông,1,
接,Tsih,1,
教,Kàu,1,
教,Kà,2,
望,Bōng,1,
淺,Tshián,1,
清,Tshinn,1,
疏,Soo,1,
章,Tsiunn,1,
章,Tsiong,2,
章,Tsiang,3,
章,Tsionn,4,
脫,Thuat,1,
連,Liân,1,
陰,Iam,1,
雪,Suat,1,
掌,Tsiúnn,1,
掌,Tsiónn,2,
棟,Tòng,1,
棟,Tàng,2,
發,Huat,1,
童,Tâng,1,
童,Tông,2,
結,Kiat,1,
結,Kat,2,
菊,Kiok,1,
菊,Kak,2,
買,Bé,1,
買,Bué,2,
開,Khui,1,
間,Kan,1,
陽,Iûnn,1,
陽,Iônn,2,
傳,Tuān,1,
歲,Suè,1,
歲,Huè,2,
歲,Hè,3,
節,Tsiat,1,
節,Tsat,2,
節,Tseh,3,
節,Tsueh,4,
經,King,1,
落,Làu,1,
解,Kè,1,
解,Kuè,2,
運,Ūn,1,
過,Kò,1,
過,Kòo,2,
歌,Ko,1,
歌,Kua,2,
歌,Koo,3,
滿,Muá,1,
種,Tsióng,1,
種,Tsíng,2,
管,Kuán,1,
管,Kńg,2,
管,Kuínn,3,
網,Bóng,1,
網,Bāng,2,
蓋,Kài,1,
遠,Uān,1,
廣,Kńg,1,
廣,Kuínn,2,
標,Piau,1,
標,Phiau,2,
標,Pio,3,
賞,Siúnn,1,
賞,Siónn,2,
養,Iúnn,1,
養,Iónn,2,
學,O̍h,1,
操,Tshau,1,
磨,Bō,1,
磨,Môo,2,
磨,Buâ,3,
靜,Tsīng,1,
靜,Tsēnn,2,
靜,Tsīnn,3,
龍,Lîng,1,
營,Iânn,1,
總,Tsóng,1,
總,Tsáng,2,
謝,Siā,1,
謝,Tsiā,2,
霜,Sng,1,
齋,Tsai,1,
齋,Tse,2,
鬆,Song,1,
鬆,Sang,2,
邊,Pinn,1,
關,Kuan,1,
籠,Lông,1,
讀,Tha̍k,1,
久,Kiú,1,
久,Kú,2,
弓,King,1,
井,Tsénn,1,
井,Tsínn,2,
今,Kim,1,
孔,Khóng,1,
少,Siàu,1,
支,Ki,1,
斗,Tóo,1,
斗,Táu,2,
斗,Tió,3,
火,Hué,1,
火,Hé,2,
牛,Gû,1,
丘,Khu,1,
丙,Píng,1,
丙,Piánn,2,
冬,Tong,1,
北,Pok,1,
北,Pak,2,
史,Sú,1,
史,Sái,2,
司,Su,1,
司,Si,2,
巧,Kháu,1,
巧,Khá,2,
巧,Khiáu,3,
旦,Tàn,1,
旦,Tuànn,2,
末,Bua̍h,1,
瓜,Kua,1,
瓜,Kue,2,
瓦,Uá,1,
瓦,Hiā,2,
瓦,Huā,3,
甲,Kah,1,
后,Hiō,1,
后,Hōo,2,
曲,Khiau,1,
汗,Hān,1,
百,Ah,1,
竹,Tiok,1,
羊,Iûnn,1,
羊,Iônn,2,
行,Hīng,1,
伯,Pik,1,
含,Hâm,1,
呂,Lī,1,
呂,Lū,2,
坊,Hng,1,
把,Pé,1,
更,King,1,
更,Kenn,2,
更,Kinn,3,
沙,Sua,1,
芒,Bâng,1,
赤,Tshiah,1,
車,Ki,1,
車,Ku,2,
侍,Sū,1,
侍,Sāi,2,
侍,Sī,3,
具,Khū,1,
卓,Toh,1,
叔,Tsik,1,
坪,Phîng,1,
坪,Pênn,2,
坪,Pînn,3,
坪,Phiânn,4,
坪,Pîng,5,
尚,Siōng,1,
尚,Siāng,2,
居,Ku,1,
居,Ki,2,
岩,Giâm,1,
岩,Gâm,2,
岸,Gān,1,
岸,Huānn,2,
拔,Pua̍t,1,
拔,Pue̍h,2,
拔,Pui̍h,3,
明,Bîng,1,
明,Mê,2,
易,Ia̍h,1,
松,Siông,1,
芙,Hû,1,
芙,Phû,2,
芳,Phang,1,
阿,O,1,
阿,Oo,2,
侯,Hâu,1,
侯,Kâu,2,
促,Tshiok,1,
促,Tshik,2,
俄,Ngôo,1,
俄,Gô,2,
厚,Kāu,1,
姚,Iâu,1,
姜,Khiong,1,
姜,Kiang,2,
姜,Khiunn,3,
姜,Khiang,4,
後,Āu,1,
柏,Peh,1,
段,Tuān,1,
洋,Iûnn,1,
洋,Iônn,2,
津,Tsin,1,
津,Tin,2,
洪,Âng,1,
珍,Tin,1,
砂,Se,1,
砂,Sua,2,
砂,Sa,3,
胡,Ôo,1,
若,Jio̍k,1,
若,Lio̍k,2,
若,Gio̍k,3,
茅,Hm̂,1,
香,Hiunn,1,
香,Hionn,2,
倉,Tshong,1,
倚,Uá,1,
唐,Tn̂g,1,
唐,Tông,2,
庭,Tiânn,1,
息,Sik,1,
息,Sit,2,
振,Tsín,1,
振,Tín,2,
晏,Àn,1,
朗,Lóng,1,
栗,La̍t,1,
格,Keh,1,
桐,Thâng,1,
桑,Song,1,
殷,Un,1,
殷,In,2,
浮,Phû,1,
涂,Thôo,1,
涂,Tôo,2,
益,Iah,1,
秧,Iang,1,
秧,Iong,2,
秧,Ng,3,
紗,Sa,1,
紗,Se,2,
索,Sik,1,
索,Soh,2,
翁,Ong,1,
翁,Ang,2,
荒,Hng,1,
荒,Huinn,2,
軒,Hian,1,
軒,Ian,2,
送,Sòng,1,
送,Sàng,2,
鬥,Tàu,1,
問,Mn̄g,1,
問,Muī,2,
基,Ki,1,
