漢字,羅馬字,來源
--一,--tsi̍t,"詞目,例句,又唸作,詞彙比較"
--三,--sann,例句
--上,--siōng,"詞目,例句"
--个,--ê,詞彙比較
--乎,--honnh,"詞目,例句"
--了,--liáu,"詞目,例句"
--二,--jī,"詞目,例句"
--二,--lī,詞目
--五,--gōo,例句
--人,--lâng,"詞目,例句,詞彙比較"
--仔,--á,"詞目,例句,又唸作,詞彙比較"
--伊,--i,"詞目,例句"
--你,--lí,"詞目,例句"
--來,--lâi,"詞目,例句,詞彙比較"
--倒,--tó,"詞目,例句,又唸作,詞彙比較"
--倒,--tór,詞彙比較
--先,--sian,例句
--入,--ji̍p,例句
--兩,--nn̄g,"詞目,例句"
--出,--tshut,"詞目,例句"
--到,--kàu,例句
--十,--tsa̍p,例句
--去,--khì,"詞目,例句,又唸作,詞彙比較"
--去,--khìr,詞彙比較
--去,--khù,詞彙比較
--呢,--neh,例句
--呢,--nih,例句
--咧,--leh,"詞目,例句,詞彙比較"
--咱,--lán,例句
--哀,--ai,例句
--哉,--tsai,例句
--哥,--ko,"詞目,例句"
--哥,--koh,詞目
--哩,--lih,例句
--哼,--hmh,又唸作
--唅,--hannh,例句
--唷,--ioh,例句
--啊,--ah,"詞目,例句"
--啦,--lah,"例句,詞彙比較"
--喂,--ueh,又唸作
--喔,--ooh,"詞目,例句"
--喲,--iō,例句
--嘛,--mah,例句
--嘿,--hennh,又唸作
--囉,--loh,又唸作
--囉,--looh,"詞目,例句,詞彙比較"
--囉,--ooh,詞彙比較
--字,--jī,例句
--家,--ka,例句
--家,--ke,詞彙比較
--寡,--kuá,例句
--年,--nî,"詞目,例句,詞彙比較"
--幾,--kuí,例句
--得,--eh,"又唸作,詞彙比較"
--得,--lih,又唸作
--得,--lit,又唸作
--得,--tit,"詞目,例句,詞彙比較"
--得,--ti̍t,例句
--得,--tsit,又唸作
--恁,--lín,例句
--我,--guá,例句
--日,--gi̍t,詞彙比較
