詞目id,漢字,異用字
1,一,蜀
2,一,壹
7,一世人,一世儂
46,人,儂
62,人人,儂儂
64,十二生相,十二生肖
71,人工,儂工
72,人才,儂才
74,刁工,挑工
94,八字跤,八字骹
94,八字跤,八字腳
101,二步七仔,二步拭仔
101,二步七仔,兩步拭仔
112,人客,儂客
117,刁故意,挑故意
120,人面,儂面
123,入厝,入茨
125,七娘媽生,七娘嬤生
127,人家厝仔,人家茨仔
134,人參,人蔘
147,又閣,又更
147,又閣,又復
147,又閣,又擱
148,人影,儂影
151,人緣,儂緣
155,人頭,儂頭
166,上,尚
181,千,仟
210,丈人,丈儂
212,土人,土儂
214,大人,大儂
218,工人,工儂
219,丈人公,丈儂公
221,丈人爸,丈儂爸
223,丈人媽,丈儂媽
223,丈人媽,丈人嬤
223,丈人媽,丈儂嬤
224,上久,尚久
250,上水,汲水
267,大心氣,大心喟
271,大爿,大旁
285,上卌袂攝,上卌𣍐攝
297,大甲蓆,大甲𥱊
302,大囝,大子
304,小囝,小子
310,下早仔,今早仔
324,口灶,口竈
345,小管仔,小卷仔
351,大姊,大姐
358,大官,大倌
364,下昏,兮昏
366,下昏暗,兮昏暗
394,山苳蒿,山茼萵
396,乞食,乞噍
396,乞食,乞吃
401,乞食琴,乞噍琴
401,乞食琴,乞吃琴
404,大厝,大茨
406,低厝仔,低茨仔
406,低厝仔,下茨仔
406,低厝仔,下厝仔
411,大家,乾家
415,大家官,大家倌
420,大氣,大喟
421,大氣喘,大喟喘
431,下晝,兮晝
432,下晡,兮晡
434,三絃,三弦
444,上殕,上醭
444,上殕,上䀟
447,大湧,大泳
448,干焦,干但
448,干焦,乾焦
448,干焦,干單
448,干焦,干乾
460,凡勢,犯勢
463,下暗,兮暗
477,下跤,下骹
477,下跤,下腳
482,山跤,山骹
482,山跤,山腳
483,下跤手人,下跤手儂
483,下跤手人,下骹手儂
483,下跤手人,下腳手儂
484,大跤胴,大骹筒
484,大跤胴,大腳筒
485,三跤馬,三骹馬
485,三跤馬,三腳馬
486,三跤貓,三骹貓
486,三跤貓,三腳貓
492,山雺,山濛
492,山雺,山茫
497,大箍呆,大箍獃
511,大廣絃,大廣弦
513,干樂,矸轆
515,大範,大辨
525,三輪車,三輾車
529,弓蕉,芎蕉
529,弓蕉,金蕉
530,弓蕉油,金蕉油
530,弓蕉油,芎蕉油
536,大頭拇,大頭母
564,予,互
571,仇,讎
572,今,旦
