羅馬字,來源
1940,例句
2003,例句
921,例句
A,釋義
Khóng,釋義
Mi,釋義
O,釋義
OK,釋義
Pe̍h,釋義
Phia̍k,釋義
Póo,釋義
Pô,釋義
Siau,釋義
Siā,釋義
Sòng,釋義
The̍h,釋義
Tn̂g,釋義
Tshit,釋義
Tsiá,釋義
Tsi̍t,釋義
Tāi,釋義
a,"詞目,例句,又唸作,詞彙比較,名,姓,釋義"
ah,"詞目,例句,又唸作,詞彙比較,名,姓,釋義"
ai,"詞目,例句,又唸作,名,姓"
aih,"詞目,例句,釋義"
ak,"詞目,例句,又唸作,詞彙比較,名,姓"
am,"詞目,例句,又唸作,詞彙比較,名,姓"
an,"詞目,例句,又唸作,詞彙比較,名,姓"
ang,"詞目,例句,詞彙比較,名,姓,釋義"
ap,"詞目,例句,又唸作,俗唸作,詞彙比較,名"
at,"詞目,例句,又唸作,詞彙比較,名,姓"
au,"詞目,例句,詞彙比較,名,姓"
auh,詞彙比較
a̋i,"詞目,又唸作"
a̍h,"詞目,例句,又唸作,合音唸作,詞彙比較,名"
a̍k,名
a̍p,"詞目,例句,又唸作,詞彙比較,名"
a̍t,詞目
a̍uh,詞彙比較
ba,詞彙比較
bah,"詞目,例句,又唸作,詞彙比較,釋義"
bai,"詞目,詞彙比較"
bak,"詞目,例句,又唸作,詞彙比較"
ban,"詞目,例句,詞彙比較,名"
bang,詞彙比較
bat,"詞目,例句,詞彙比較"
ba̋i,詞目
ba̍h,詞彙比較
ba̍k,"詞目,例句,又唸作,詞彙比較,名,姓,釋義"
ba̍t,"詞目,例句,名,姓"
ba̍uh,又唸作
be,名
beh,"詞目,例句,又唸作,詞彙比較"
berh,詞彙比較
be̍h,"詞目,例句,又唸作,詞彙比較,名,姓,釋義"
be̍rh,詞彙比較
bi,"詞目,例句,詞彙比較,名"
biat,詞目
bia̍t,"詞目,例句,名"
bih,"詞目,例句,詞彙比較,名,釋義"
bián,"詞目,例句,俗唸作,詞彙比較,名"
biáu,"詞目,例句,名"
biân,"詞目,名,姓"
biâu,"詞目,例句,又唸作,名,姓"
bió,"詞目,例句,又唸作,名,姓"
biô,"詞目,例句,又唸作,名,姓"
biû,名
biān,"詞目,例句,又唸作,名"
biāu,"又唸作,名,姓"
biō,"詞目,例句,又唸作,詞彙比較,名,姓"
biōr,詞彙比較
biū,"詞目,名"
bi̋,詞彙比較
bi̍h,"詞目,例句,詞彙比較,名"
bi̍k,"詞目,名,姓"
bi̍t,"詞目,例句,詞彙比較,名"
boh,詞彙比較
bok,"詞目,例句,詞彙比較"
bong,"詞目,例句,詞彙比較,名"
boo,"詞目,名"
bo̍h,"詞目,名,姓"
bo̍k,"詞目,例句,又唸作,俗唸作,詞彙比較,名,姓"
bu,"詞目,詞彙比較"
buah,"詞目,例句,詞彙比較,名"
buaih,合音唸作
buat,名
bua̋,合音唸作
bua̍h,"詞目,例句,詞彙比較,名,姓"
bua̍t,"詞目,例句,名"
bueh,"詞目,又唸作,詞彙比較"
bue̍h,"詞目,例句,詞彙比較,名"
buh,詞目
bui,"詞目,例句,詞彙比較"
but,"詞目,例句,又唸作,詞彙比較"
buán,"詞目,例句,又唸作,詞彙比較,名,姓"
buâ,"詞目,例句,詞彙比較,名,姓"
buân,名
bué,"詞目,例句,又唸作,詞彙比較,名,姓,釋義"
buê,"詞目,例句,又唸作,詞彙比較,名"
buā,詞彙比較
buē,"詞目,例句,又唸作,詞彙比較,名"
buě,詞彙比較
bu̍t,"詞目,例句,又唸作,俗唸作,詞彙比較,名"
bà,詞目
bàn,詞目
bàng,"詞目,例句,詞彙比較,名"
bá,"詞目,又唸作,詞彙比較"
bái,"詞目,例句,詞彙比較,名"
bám,名
bán,"詞目,例句,又唸作,詞彙比較,名,釋義"
báng,"詞目,例句,又唸作,詞彙比較,名"
báu,"詞目,例句,名,姓,釋義"
