義項id,詞目漢字,解說,對應義項id,對應詞目漢字,對應解說
24,一目𥍉仔,一瞬間、一眨眼。指很短暫的時間。,21887,規半晡,大半天、老半天，指一天當中的一段長時間。
42,一睏仔,一陣子、一會兒。,21887,規半晡,大半天、老半天，指一天當中的一段長時間。
49,一霎仔久,一瞬間、一下子。形容很短的時間。,21887,規半晡,大半天、老半天，指一天當中的一段長時間。
53,一觸久仔,一會兒、一下子。,21887,規半晡,大半天、老半天，指一天當中的一段長時間。
79,入,進。從外面進到裡面。,9293,退,離開。
118,刁工,故意。,11918,無張持,不小心。沒注意到。
118,刁工,故意。,11922,無細膩,不小心。
122,二手,副手、助手、助理。技術工作中的助手、協助處理事務的人。,8284,師傅,稱懷有專門技藝的人。
122,二手,副手、助手、助理。技術工作中的助手、協助處理事務的人。,16423,頭手,一個單位的最高負責人，如領班等。
130,了本,蝕本、虧本。,22588,省本,節省成本。
142,七早八早,一大清早。,470,三更半暝,三更半夜；深夜。
143,七早八早,形容時間還早。,18762,七晏八晏,很晚、很遲。
161,入門,進門。,2080,出門,離家外出。
165,人客,客人、賓客、顧客。,1800,主人,擺設宴席款待賓客的人。
169,刁持,故意、存心。,11918,無張持,不小心。沒注意到。
169,刁持,故意、存心。,11922,無細膩,不小心。
171,刁故意,存心、故意。,11922,無細膩,不小心。
171,刁故意,存心、故意。,11931,無意中,意外、無意間。
196,人造,由人工製造而成的。,1478,天然,自然形成、天生的，不是人為的。
196,人造,由人工製造而成的。,3792,自然,天然，沒有經過人為加工的。
201,刁意故,故意、存心。,11918,無張持,不小心。沒注意到。
201,刁意故,故意、存心。,11922,無細膩,不小心。
209,入學,開始進入學校學習、求學。,9410,退學,學生因為嚴重違反校規或是不及格的科目達到一定比例，而被學校當局勒令不得繼續在校就讀。
211,了錢,賠錢、虧本。,12500,趁錢,賺錢。
211,了錢,賠錢、虧本。,22588,省本,節省成本。
230,下,指空間位置「上」的相反。,11127,頂,物品的上方。
272,大,指在體積、面積、深度、數量、強度等方面超過一般，或超過所比較的對象。,295,小,細微，是「大」的相反。
273,大,在體積、面積、容量、數量、強度、深度、力量等方面超過一般，或超過比較的對象。,293,小,細微，是「大」的相反。
273,大,在體積、面積、容量、數量、強度、深度、力量等方面超過一般，或超過比較的對象。,295,小,細微，是「大」的相反。
275,大,最年長的、排行第一的。,297,小,年紀、輩份比較低的。
277,女,女性、女子。,4636,男,指男性。與女相對。
278,女,女性、女子。,4664,男子,男人。
293,小,細微，是「大」的相反。,273,大,在體積、面積、容量、數量、強度、深度、力量等方面超過一般，或超過比較的對象。
295,小,細微，是「大」的相反。,272,大,指在體積、面積、深度、數量、強度等方面超過一般，或超過所比較的對象。
295,小,細微，是「大」的相反。,273,大,在體積、面積、容量、數量、強度、深度、力量等方面超過一般，或超過比較的對象。
297,小,年紀、輩份比較低的。,275,大,最年長的、排行第一的。
331,三八,傻氣、不正經。形容女性有點傻氣、粗野或言行舉止違悖常理、不正經。,2463,正經,正派，謹守規矩。
331,三八,傻氣、不正經。形容女性有點傻氣、粗野或言行舉止違悖常理、不正經。,18473,大端,大方、賢淑、端莊。
