義項id,詞目漢字,解說,對應義項id,對應詞目漢字,對應解說
2,一,全部的、整個的。,2840,全,所有、整個。
2,一,全部的、整個的。,10878,規,整個。完全的，全部的。
4,一,數字。,245,么,最小的數字，「一」的另一種稱呼。
9,一下,動詞後綴。表示極短的時間或是短時間的動作。,23043,一下仔,一下子、一會兒。表示極短的時間。
13,一日到暗,一天到晚、從早到晚，整天。,19313,規工,一整天、成天。
14,一世人,一輩子。,22,一生,畢生、一輩子。
14,一世人,一輩子。,10894,規世人,一生、一輩子。
14,一世人,一輩子。,10996,透世人,一輩子、一生。
19,一四界,遍地、到處。,416,大四界,到處、每個地方。
19,一四界,遍地、到處。,14508,滿四界,處處、遍地。到處都是。
19,一四界,遍地、到處。,14527,滿滿是,到處、處處。
19,一四界,遍地、到處。,22070,規山坪,滿山遍野。
19,一四界,遍地、到處。,22071,規山坪,比喻到處都是。
22,一生,畢生、一輩子。,14,一世人,一輩子。
22,一生,畢生、一輩子。,10894,規世人,一生、一輩子。
22,一生,畢生、一輩子。,10996,透世人,一輩子、一生。
24,一目𥍉仔,一瞬間、一眨眼。指很短暫的時間。,42,一睏仔,一陣子、一會兒。
24,一目𥍉仔,一瞬間、一眨眼。指很短暫的時間。,49,一霎仔久,一瞬間、一下子。形容很短的時間。
24,一目𥍉仔,一瞬間、一眨眼。指很短暫的時間。,23043,一下仔,一下子、一會兒。表示極短的時間。
28,一定,必定、必然。,2231,包穩,一定。表示有絕對的把握可以完成事情。
28,一定,必定、必然。,2448,必然,確定不移。
31,一直,持續不間斷。,6149,直,一直、沒有間隔的。多用重疊。
31,一直,持續不間斷。,22097,硞硞,連續不斷地重複某一動作的樣子。
32,一律,全部都一樣。,44,一概,一律、完全。
33,一致,趨向相同。,44,一概,一律、完全。
37,一屑仔,一點點。形容體積很小或數量很少。,47,一寡仔,一點點、一些些。
37,一屑仔,一點點。形容體積很小或數量很少。,50,一點仔,一點兒、一 點點。形容數量極少。
37,一屑仔,一點點。形容體積很小或數量很少。,18759,一疕仔,一小片、一點點。形容微不足道，帶有貶義。
37,一屑仔,一點點。形容體積很小或數量很少。,22922,分分仔,一點兒。
38,一家伙仔,一家子。全家人、同一家人。,19314,規家伙仔,全家人。
42,一睏仔,一陣子、一會兒。,24,一目𥍉仔,一瞬間、一眨眼。指很短暫的時間。
42,一睏仔,一陣子、一會兒。,19665,一時仔,一下子。一段不長的時間。
42,一睏仔,一陣子、一會兒。,23043,一下仔,一下子、一會兒。表示極短的時間。
44,一概,一律、完全。,32,一律,全部都一樣。
44,一概,一律、完全。,33,一致,趨向相同。
46,一寡,一些、少許，也可以單說「寡」(--kuá)。,50,一點仔,一點兒、一 點點。形容數量極少。
47,一寡仔,一點點、一些些。,37,一屑仔,一點點。形容體積很小或數量很少。
47,一寡仔,一點點、一些些。,50,一點仔,一點兒、一 點點。形容數量極少。
47,一寡仔,一點點、一些些。,10511,淡薄仔,一點點。微量的、些微的。
47,一寡仔,一點點、一些些。,18759,一疕仔,一小片、一點點。形容微不足道，帶有貶義。
47,一寡仔,一點點、一些些。,22922,分分仔,一點兒。
49,一霎仔久,一瞬間、一下子。形容很短的時間。,24,一目𥍉仔,一瞬間、一眨眼。指很短暫的時間。
49,一霎仔久,一瞬間、一下子。形容很短的時間。,23043,一下仔,一下子、一會兒。表示極短的時間。
50,一點仔,一點兒、一 點點。形容數量極少。,37,一屑仔,一點點。形容體積很小或數量很少。
50,一點仔,一點兒、一 點點。形容數量極少。,46,一寡,一些、少許，也可以單說「寡」(--kuá)。
