義項id,詞目漢字,解說,對應詞目id,對應詞目漢字
134,十全,完滿、齊全。完美無缺憾。,17984,欠點
161,入門,進門。,1490,出門
171,刁故意,存心、故意。,25259,無心
228,上,指空間位置「下」的相反。,167,下
228,上,指空間位置「下」的相反。,3819,底
230,下,指空間位置「上」的相反。,166,上
230,下,指空間位置「上」的相反。,8013,頂
273,大,在體積、面積、容量、數量、強度、深度、力量等方面超過一般，或超過比較的對象。,196,小
273,大,在體積、面積、容量、數量、強度、深度、力量等方面超過一般，或超過比較的對象。,7720,細
331,三八,傻氣、不正經。形容女性有點傻氣、粗野或言行舉止違悖常理、不正經。,19422,端莊
342,三八氣,傻氣、不正經。形容女性有點傻氣、粗野或言行舉止違悖常理、不正經。,19422,端莊
360,下勻,後輩、晚輩。,19063,頂沿
387,小心,注意、留意。,18124,生猴
411,上加,最多、頂多。,17760,上少
419,上市,物品、股票等開始在市場上發售或買賣。,19316,落市
427,大目,大眼睛。用來嘲諷人沒有看到近在眼前或目標明顯的東西。,19014,細目
432,上任,就職。擔任職務。,19318,落任
432,上任,就職。擔任職務。,25423,下台
522,乞的,養子女。,19548,親的
613,干焦,只有、僅僅。,921,毋但
619,上等,最高等級或最優異的品等。,17825,下等
695,大範,一個人的舉止十分大方、自然，不受拘束。,8045,閉思
700,上課,上學、學習。學生到學校讀書或接受老師的教導。,25114,放學
700,上課,上學、學習。學生到學校讀書或接受老師的教導。,25424,下課
714,口頭,指用言語表示，不是用文字或者行動來表明。,24813,書面
727,上濟,至多、頂多。指在最壞的情況下。,2624,至少
727,上濟,至多、頂多。指在最壞的情況下。,13881,上無
733,下擺,下次、下回。,19058,頂回
791,公,共同持有的、非私有的。,3337,私
829,五仁,插科打諢。形容人行為滑稽、詼諧，逗人發笑。,18259,老古板
867,中古,半新不舊。,24449,全新
877,中立,不偏袒。,18351,私偏
877,中立,不偏袒。,18905,偏私
914,不法,不守法、違法。違反法律的意圖或者行為。,23872,守法
922,內政,國家內部的政事。,18035,外務
947,不時,隨時、經常。無論什麼時候。,18346,罕罕
1000,中意,合人心意。,18632,相棄嫌
1002,仁慈,和善、善良。慈悲，寬大慈善。,26099,兇惡
1044,升,由下而上。,5504,降
1161,歹人,壞人、惡人、歹徒。品性、行為不良的人。,19081,善人
1161,歹人,壞人、惡人、歹徒。品性、行為不良的人。,25055,好人
1180,戶口名,正名、本名。登記在戶口名簿上的名字，有別一般偏名。,18916,偏號
1214,歹代,壞事、惡事。,18188,好代誌
1215,歹代,壞事、壞消息。,18188,好代誌
1215,歹代,壞事、壞消息。,18211,好消息
1242,天光,天亮、破曉。,17962,天暗
1255,少年,年紀輕。,18197,年老
1297,歹扭搦,難搞、吹毛求疵。形容人的個性難以順服他人，很難照顧，對事物的要求多，容易找他人麻煩。,18198,好扭搦
1316,文言,用古漢語為基礎的書面語。相對於白話。,1986,白話
1340,毋拄好,搞不好、不湊巧。,4005,拄好
1347,歹物,報廢的東西。,18202,好物件
1396,歹食,不好吃、很難吃。,18210,好食
1416,日時仔,白天。,19402,暝時仔
1443,毋情願,不情不願。,17918,心甘情願
1481,歹睏,很難入睡。,18220,好睏
1562,手盤,手背。,17954,手掌
1607,歹講,難說。指事情狀況難以說明清楚或難以預料。,18224,好講
1635,歹聽,不體面、不光彩。,25056,好聽
1757,主,接待別人的人，與「賓客」相對。,4850,客
1809,充分,足夠，完全。,22261,不足
1942,去,從事某事。,3529,來
1943,去,離開。,3529,來
1950,古,過去久遠的時代。,572,今
1982,外,方位名。不在特定範圍之內均稱為「外」。相對於「內」而言。,575,內
