義項id,詞目漢字,解說,對應詞目id,對應詞目漢字
9,一下,動詞後綴。表示極短的時間或是短時間的動作。,17727,一下仔
12,一月日,一個月。,17730,一個月
13,一日到暗,一天到晚、從早到晚，整天。,19034,規日
24,一目𥍉仔,一瞬間、一眨眼。指很短暫的時間。,17729,一目𥍉
27,一來,首先。,22319,首先
37,一屑仔,一點點。形容體積很小或數量很少。,17732,一絲仔
42,一睏仔,一陣子、一會兒。,17727,一下仔
44,一概,一律、完全。,22176,一切
46,一寡,一些、少許，也可以單說「寡」(--kuá)。,17732,一絲仔
49,一霎仔久,一瞬間、一下子。形容很短的時間。,17727,一下仔
49,一霎仔久,一瞬間、一下子。形容很短的時間。,17729,一目𥍉
50,一點仔,一點兒、一 點點。形容數量極少。,17732,一絲仔
100,十一哥,單身漢。,19519,獨身仔
100,十一哥,單身漢。,19660,羅漢跤
109,十八骰仔,骰子。一種遊戲或賭博用的小方塊。六面分別刻上一、二、三、四、五、六點，一、四漆紅色，其餘為黑色。,17734,十八仔
114,人工,工資。從事工作所得的報酬。,25445,工資
117,刁工,專程、特地。,7145,專工
118,刁工,故意。,23747,故意
120,七孔,七竅。指人臉部的七個孔穴，包括兩眼、兩耳、兩鼻孔和嘴巴。,17755,七竅
122,二手,副手、助手、助理。技術工作中的助手、協助處理事務的人。,24738,助理
122,二手,副手、助手、助理。技術工作中的助手、協助處理事務的人。,25078,助手
124,入木,入殮。把死者放進棺木中。,18246,收棺
124,入木,入殮。把死者放進棺木中。,19324,落棺
144,入耳,聽進耳裡。,19319,落耳
148,二步七仔,本事、本領。形容人對事情有一點處理的本事、能力。,18392,兩步七仔
151,九芎仔,九芎樹。木本植物。木質堅韌，可以拿來做手杖，根部可以拿來入藥，治瘧疾。,17741,九芎仔柴
151,九芎仔,九芎樹。木本植物。木質堅韌，可以拿來做手杖，根部可以拿來入藥，治瘧疾。,17742,九芎仔樹
157,卜卦,占卜。推斷未來的吉凶禍福。,17752,卜聖卦
160,十花五色,五花八門、形形色色。,17871,五花十色
167,七星,北斗星、北斗七星。星座名。由七顆星組合、排列在北方天空的星象，形狀像斗杓。是中國數術、宗教儀式中重要的星象，在西方星象學上屬於大熊星座。,18011,北斗星
169,刁持,故意、存心。,17751,刁意
171,刁故意,存心、故意。,23747,故意
178,人員,人數。,22900,人數
185,人格,品格、品性。,17743,人品
188,人馬,兵馬。泛指軍隊和武力裝備，及有相當力量的聚合人群。,18288,兵馬
194,入教,信教、皈依。,18557,信教
194,入教,信教、皈依。,18699,食教
195,人望,眾人矚目。,18087,民望
207,人範,人品。指人的外在面貌或儀表。,17743,人品
207,人範,人品。指人的外在面貌或儀表。,17749,人款
209,入學,開始進入學校學習、求學。,18341,求學
210,入選,中選。被選上、被選入。,17891,中選
217,入殮,將亡者的遺體放入棺木中。,19324,落棺
229,上,極致地、最……地，有些地區音變為thōng。,19123,最
329,下𦜆,下巴、下顎。,17761,下斗
341,丈人爸,岳父。稱謂，男性稱呼妻子的父親。,18423,岳父
344,上久,最久。,17838,上慢
349,小口,飯量少、食量小。,19018,細食
360,下勻,後輩、晚輩。,17797,下沿
360,下勻,後輩、晚輩。,18984,晚輩
368,上元暝,元宵節、上元節。我國傳統民俗節日之一。農曆正月十五日為天官大帝誕辰，清晨會祭拜三界公。,17876,元宵暝
370,上天,上蒼。對具有無窮力量的天或是天上神明的總稱。,17839,上蒼
371,上手,對技術或工作已掌握熟練，駕馭自如。,18157,在手
384,大月,國曆三十一天或者農曆三十天的月分。,19745,月大
388,小月,農曆之中，只有二十九天的月份。,19746,月小
393,工夫,技術、本領、造詣。,22136,技術
399,千斤秤,千斤頂、起重機。利用螺旋、齒輪或油壓作用，將重物作小幅度抬高的機械裝置。常用於安裝或修理機器、汽車時使用。,19438,銅人
416,大四界,到處、每個地方。,17798,大母四界
416,大四界,到處、每個地方。,19724,大母四公界
432,上任,就職。擔任職務。,23174,就職
432,上任,就職。擔任職務。,23550,上台
449,下早仔,早上。,18241,早時
450,下早仔,今早。今天早上。,18241,早時
459,工作,作事、職業。為賺取生活所需的金錢或物質，所從事的腦力或體力的活動。,19626,穡路
472,小肚,膀胱。泌尿系統中儲存尿液的器官。為肌肉與膜質形成的囊，呈卵圓形，位在骨盤腔的前方和腹腔的下方。,18313,尿袋
479,山谷,山溝。兩山之間低窪且狹窄的地方。,17780,山坑
484,三角窗,位於路口轉角處的房子。,17790,三角間
485,三角褲,一種三角樣式的貼身內褲。,26014,內褲
486,千里鏡,望遠鏡。用來觀察天體或者是遠處物體的儀器。,18982,望遠鏡
491,小使,小弟、跑腿的。供人差遣的人。,19024,細漢的
495,小管仔,軟體動物名。胴部呈圓錐形或長筒形，鰭較大，多位於後端。腕有十隻，有兩隻較長的觸腕，內有吸盤二行，觸腕穗吸盤四行。,19725,鎖管
498,山坪,山坡地。山凹間或山麓上較平坦的地或可耕地。,25997,山坡
511,下底,下面、底下。與「頂面」(tíng-bīn)相對。,22958,下面
525,久長,長久。時間長遠悠久。,23139,長久
585,低級,比較低下的級別，相對於「高級」而言。,17825,下等
591,才情,指人的才華、本事、才能。,22305,才能
596,小票,零鈔。小面額的紙幣。,19376,零星的
609,下港,指臺灣南部地方。,17848,下頭
609,下港,指臺灣南部地方。,22790,南部
613,干焦,只有、僅僅。,11804,獨獨
619,上等,最高等級或最優異的品等。,19066,頂級
619,上等,最高等級或最優異的品等。,19574,頭等
621,大筒,靜脈注射、點滴。,17826,大筒仔
621,大筒,靜脈注射、點滴。,17827,大筒射
634,山溝,山澗、山谷。,17780,山坑
648,下跤,下面、底下。,17848,下頭
648,下跤,下面、底下。,22958,下面
662,小路,小徑、小道。較狹窄的路。,17835,小路仔
663,大道公,保生大帝，為傳統民間信仰的神明，又稱吳真人。俗名為吳夲，北宋太宗年間福建泉州府同安縣人，以醫藥為業，得道後又以除瘟疫為聖行，中醫藥業常供奉為行業神。也是臺灣同安籍人士信奉的鄉土保護神。在臺灣以臺北大龍峒保安宮、蘆洲保和宮和臺南學甲慈濟宮最為著名之主祀廟宇。,18300,吳真人
685,三層,五花肉。指肥瘦夾雜的豬肉。,17843,三層仔肉
688,三層肉,五花肉。指肥瘦夾雜的豬肉。,17842,三層仔
688,三層肉,五花肉。指肥瘦夾雜的豬肉。,17843,三層仔肉
695,大範,一個人的舉止十分大方、自然，不受拘束。,256,大方
696,大範,高雅、不俗氣。,5210,派頭
703,大賣,批發的生意，指成批買賣商品。,17823,大割
703,大賣,批發的生意，指成批買賣商品。,22699,大盤
706,下輩,晚輩、後輩。子姪輩或是輩分較低的人。,17797,下沿
706,下輩,晚輩、後輩。子姪輩或是輩分較低的人。,18984,晚輩
708,下頦,下巴。臉部嘴脣以下的部位。,17761,下斗
708,下頦,下巴。臉部嘴脣以下的部位。,17849,下頷
720,大頭拇,大拇指。,17770,大拇頭
720,大頭拇,大拇指。,17795,大拇翁
