華語詞目id,華語詞目,腔,漢字,羅馬字
1,醫院,鹿港偏泉腔,病院,pǐnn-ǐnn
1,醫院,鹿港偏泉腔,醫生館,i-sing-kuán
1,醫院,三峽偏泉腔,病院,pīnn-īnn
1,醫院,三峽偏泉腔,醫生館,i-sing-kuán
1,醫院,臺北偏泉腔,病院,pīnn-īnn
1,醫院,臺北偏泉腔,醫生館,i-sing-kuán
1,醫院,宜蘭偏漳腔,病院,pēnn-īnn
1,醫院,宜蘭偏漳腔,醫生館,i-sing-kuán
1,醫院,臺南混合腔,病院,pēnn-īnn
1,醫院,臺南混合腔,醫生館,i-sing-kuán
1,醫院,高雄混合腔,病院,pēnn-īnn
1,醫院,高雄混合腔,醫生館,i-sing-kuán
1,醫院,金門偏泉腔,醫院,i-īnn
1,醫院,馬公偏泉腔,醫生館,i-sing-kuán
1,醫院,馬公偏泉腔,病院,pīnn-īnn
1,醫院,新竹偏泉腔,病院,pīnn-ìnn
1,醫院,臺中偏漳腔,病院,pēnn-ìnn
1,醫院,臺中偏漳腔,醫生館,i-sing-kuán
2,看醫生,臺北偏泉腔,予醫生看,hōo i-sing khuànn
2,看醫生,宜蘭偏漳腔,予醫生看,hōo i-sing khuànn
2,看醫生,臺南混合腔,予醫生看,hōo i-sing khuànn
2,看醫生,高雄混合腔,予醫生看,hōo i-sing khuànn
2,看醫生,鹿港偏泉腔,看醫生,khuànn-i-sing
2,看醫生,三峽偏泉腔,看醫生,khuànn-i-sing
2,看醫生,臺北偏泉腔,看醫生,khuànn-i-sing
2,看醫生,宜蘭偏漳腔,看醫生,khuànn-i-sing
2,看醫生,臺南混合腔,看醫生,khuànn-i-sing
2,看醫生,高雄混合腔,看醫生,khuànn-i-sing
2,看醫生,金門偏泉腔,予醫生看,hōo i-sing khuànn
2,看醫生,馬公偏泉腔,看醫生,khuànn-i-sing
2,看醫生,馬公偏泉腔,揣醫生,tshē-i-sing
2,看醫生,新竹偏泉腔,看醫生,khuànn-i-sing
2,看醫生,臺中偏漳腔,看醫生,khuànn-i-sing
2,看醫生,新竹偏泉腔,予醫生看,hōo i-sing khuànn
3,把脈,鹿港偏泉腔,𥌚脈,bāi-be̍h
3,把脈,鹿港偏泉腔,節脈,tsat-be̍h
3,把脈,三峽偏泉腔,節脈,tsat-bē
3,把脈,臺北偏泉腔,節脈,tsat-me̍h
3,把脈,宜蘭偏漳腔,節脈,tsat-mē
3,把脈,臺南混合腔,節脈,tsat-me̍h
3,把脈,臺南混合腔,摸脈,bong-me̍h
3,把脈,高雄混合腔,節脈,tsat-me̍h
3,把脈,高雄混合腔,候脈,hāu-me̍h
3,把脈,金門偏泉腔,候脈,hāu-be̍h
3,把脈,金門偏泉腔,掠脈,lia̍h-be̍h
3,把脈,金門偏泉腔,𥌚脈,bāi-be̍h
3,把脈,金門偏泉腔,扞脈,huānn-be̍h
3,把脈,馬公偏泉腔,候脈,hāu-me̍h
3,把脈,馬公偏泉腔,節脈,tsat-me̍h
3,把脈,馬公偏泉腔,𥌚脈,bāi-me̍h
3,把脈,新竹偏泉腔,節脈,tsat-be̍h
3,把脈,臺中偏漳腔,節脈,tsat-meh
4,注射,鹿港偏泉腔,注射,tsù-siǎ
4,注射,鹿港偏泉腔,注射,tsù-siā
4,注射,三峽偏泉腔,注射,tsù-siā
4,注射,臺北偏泉腔,注射,tsù-siā
4,注射,宜蘭偏漳腔,注射,tsù-siā
4,注射,臺南混合腔,注射,tsù-siā
4,注射,高雄混合腔,注射,tsù-siā
4,注射,金門偏泉腔,拍針,phah-tsam
4,注射,金門偏泉腔,注射,tsù-siā
4,注射,馬公偏泉腔,注射,tsù-siā
4,注射,新竹偏泉腔,注射,tsù-siā
4,注射,臺中偏漳腔,注射,tsù-siā
5,艾,鹿港偏泉腔,艾,hiānn
5,艾,三峽偏泉腔,艾,hiānn
5,艾,臺北偏泉腔,艾,hiānn
5,艾,宜蘭偏漳腔,艾,hiānn
5,艾,臺南混合腔,艾,hiānn
5,艾,臺南混合腔,艾草,hiānn-tsháu
5,艾,高雄混合腔,艾,hiānn
5,艾,金門偏泉腔,艾,hiānn
5,艾,馬公偏泉腔,艾,hiānn
5,艾,新竹偏泉腔,艾,hiānn
5,艾,臺中偏漳腔,艾,hiānn
7,擲筊杯,鹿港偏泉腔,跋桮,pua̍h-pue
7,擲筊杯,三峽偏泉腔,跋桮,puā-pue
7,擲筊杯,臺北偏泉腔,跋桮,pua̍h-pue
7,擲筊杯,宜蘭偏漳腔,跋桮,puā-pue
7,擲筊杯,臺南混合腔,跋桮,pua̍h-pue
7,擲筊杯,高雄混合腔,跋桮,pua̍h-pue
7,擲筊杯,金門偏泉腔,跋桮,pua̍h-pue
7,擲筊杯,馬公偏泉腔,跋桮,pua̍h-pue
7,擲筊杯,新竹偏泉腔,跋桮,pua̍h-pue
7,擲筊杯,臺中偏漳腔,跋桮,pua̍h-pue
8,陰筊,鹿港偏泉腔,無桮,bô-pue
8,陰筊,三峽偏泉腔,陰桮,im-pue
8,陰筊,臺北偏泉腔,陰桮,im-pue
8,陰筊,宜蘭偏漳腔,陰桮,im-pue
8,陰筊,臺南混合腔,陰桮,im-pue
8,陰筊,高雄混合腔,陰桮,im-pue
8,陰筊,金門偏泉腔,陰桮,im-pue
8,陰筊,馬公偏泉腔,象桮,siūnn-pue
8,陰筊,新竹偏泉腔,匼桮,khap-pue
8,陰筊,臺中偏漳腔,匼桮,khap-pue
8,陰筊,臺中偏漳腔,陰桮,im-pue
9,解籤詩,鹿港偏泉腔,逼籤詩,pik-tshiam-si
9,解籤詩,三峽偏泉腔,解籤詩,kái-tshiam-si
9,解籤詩,臺北偏泉腔,逼籤詩,pik-tshiam-si
9,解籤詩,宜蘭偏漳腔,卜籤詩,pok-tshiam-si
9,解籤詩,臺南混合腔,逼籤詩,piat-tshiam-si
9,解籤詩,高雄混合腔,逼籤詩,pik-tshiam-si
9,解籤詩,金門偏泉腔,逼籤詩,piat-tshiam-si
9,解籤詩,馬公偏泉腔,逼籤詩,pik-tshiam-si
9,解籤詩,新竹偏泉腔,逼籤詩,pik-tshiam-si
9,解籤詩,新竹偏泉腔,解籤,kái-tshiam
9,解籤詩,臺中偏漳腔,逼籤詩,pik-tshiam-si
10,卜卦,鹿港偏泉腔,卜卦,pok-kuà
10,卜卦,三峽偏泉腔,卜卦,pok-kuà
10,卜卦,臺北偏泉腔,卜卦,pok-kuà
10,卜卦,宜蘭偏漳腔,卜卦,pok-kuà
10,卜卦,臺南混合腔,卜卦,pok-kuà
10,卜卦,高雄混合腔,卜卦,pok-kuà
10,卜卦,金門偏泉腔,卜卦,pok-kuà
10,卜卦,馬公偏泉腔,跋卦,pua̍h-kuà
10,卜卦,新竹偏泉腔,卜卦,pok-kuà
10,卜卦,臺中偏漳腔,卜卦,pok-kuà
12,廟公,鹿港偏泉腔,廟公,biō-kong
12,廟公,三峽偏泉腔,廟公,biō-kong
12,廟公,臺北偏泉腔,廟公,biō-kong
12,廟公,宜蘭偏漳腔,廟公,biō-kong
12,廟公,宜蘭偏漳腔,廟祝,biō-tsiok
12,廟公,臺南混合腔,廟公,biōr-kong
12,廟公,臺南混合腔,廟祝,biōr-tsiok
12,廟公,高雄混合腔,廟公,biō-kong
12,廟公,高雄混合腔,廟祝,biō-tsiok
12,廟公,金門偏泉腔,廟祝,biō-tsiok
12,廟公,馬公偏泉腔,宮公,king-kong
12,廟公,新竹偏泉腔,廟公,biō-kong
12,廟公,新竹偏泉腔,顧廟的,kòo-biō--ê
12,廟公,臺中偏漳腔,廟公,biō-kong
14,讀書,鹿港偏泉腔,讀書,tha̍k-tsir
14,讀書,三峽偏泉腔,讀書,tha̍k-tsir
14,讀書,臺北偏泉腔,讀書,tha̍k-tsu
14,讀書,宜蘭偏漳腔,讀冊,tha̍k-tsheh
14,讀書,臺南混合腔,讀冊,tha̍k-tsheh
14,讀書,高雄混合腔,讀冊,tha̍k-tsheh
14,讀書,金門偏泉腔,讀書,tha̍k-tsir
14,讀書,馬公偏泉腔,讀書,tha̍k-tsu
14,讀書,新竹偏泉腔,讀書,tha̍k-tsir
14,讀書,新竹偏泉腔,讀書,tha̍k-tsu
14,讀書,臺中偏漳腔,讀冊,tha̍k-tsheh
16,墨,鹿港偏泉腔,墨,ba̍k
16,墨,三峽偏泉腔,墨,ba̍k
16,墨,臺北偏泉腔,墨,ba̍k
16,墨,宜蘭偏漳腔,墨,ba̍k
16,墨,臺南混合腔,墨,ba̍k
16,墨,高雄混合腔,墨,ba̍k
16,墨,金門偏泉腔,墨,ba̍k
16,墨,馬公偏泉腔,墨,ba̍k
16,墨,新竹偏泉腔,墨,ba̍k
16,墨,臺中偏漳腔,墨,ba̍k
16,墨,臺中偏漳腔,烏墨,oo-ba̍k
17,硯台,鹿港偏泉腔,墨盤,ba̍k-puânn
17,硯台,三峽偏泉腔,墨盤,ba̍k-puânn
17,硯台,臺北偏泉腔,墨盤,ba̍k-puânn
17,硯台,宜蘭偏漳腔,墨盤,ba̍k-puânn
17,硯台,臺南混合腔,墨硯,ba̍k-hīnn
17,硯台,臺南混合腔,墨盤,ba̍k-puânn
17,硯台,高雄混合腔,墨硯,ba̍k-hīnn
17,硯台,高雄混合腔,墨盤,ba̍k-puânn
17,硯台,金門偏泉腔,硯,hīnn
17,硯台,金門偏泉腔,墨硯,ba̍k-hīnn
17,硯台,馬公偏泉腔,硯,hīnn
17,硯台,新竹偏泉腔,墨盤,ba̍k-puânn
17,硯台,臺中偏漳腔,墨盤,ba̍k-puânn
18,信,鹿港偏泉腔,批,phue
18,信,三峽偏泉腔,批,phue
18,信,臺北偏泉腔,批,phue
18,信,宜蘭偏漳腔,批,phe
18,信,臺南混合腔,批,phue
18,信,高雄混合腔,批,phue
18,信,金門偏泉腔,批,phue
18,信,馬公偏泉腔,批,phue
18,信,新竹偏泉腔,批,phue
18,信,臺中偏漳腔,批,phue
19,黑板,鹿港偏泉腔,烏枋,oo-pang
19,黑板,三峽偏泉腔,烏枋,oo-pang
19,黑板,臺北偏泉腔,烏枋,oo-pang
19,黑板,宜蘭偏漳腔,烏枋,oo-pang
19,黑板,臺南混合腔,烏枋,oo-pang
19,黑板,高雄混合腔,烏枋,oo-pang
19,黑板,金門偏泉腔,烏牌,oo-pâi
19,黑板,馬公偏泉腔,烏枋,oo-pang
19,黑板,新竹偏泉腔,烏枋,oo-pang
19,黑板,臺中偏漳腔,烏枋,oo-pang
20,板擦,鹿港偏泉腔,拭仔,tshit-á
20,板擦,三峽偏泉腔,烏枋拭仔,oo-pang-tshit-á
20,板擦,臺北偏泉腔,烏枋拭仔,oo-pang-tshit-á
20,板擦,宜蘭偏漳腔,粉拭仔,hún-tshit-á
20,板擦,臺南混合腔,烏枋拭仔,oo-pang-tshit-á
20,板擦,高雄混合腔,烏枋拭仔,oo-pang-tshit-á
20,板擦,金門偏泉腔,烏板擦,oo-pán-tshat
20,板擦,馬公偏泉腔,粉擦,hún-tshat
20,板擦,新竹偏泉腔,烏枋拭仔,oo-pang-tshit-á
20,板擦,臺中偏漳腔,烏枋拭仔,oo-pang-tshit-á
21,通書,鹿港偏泉腔,通書,thong-sir
21,通書,三峽偏泉腔,通書,thong-sir
21,通書,臺北偏泉腔,通書,thong-tsu
21,通書,宜蘭偏漳腔,通書,thong-si
21,通書,臺南混合腔,通書,thong-su
21,通書,高雄混合腔,通書,thong-su
21,通書,金門偏泉腔,通書,thong-tsir
21,通書,馬公偏泉腔,通書,thong-tsu
21,通書,新竹偏泉腔,通書,thong-tsir
21,通書,臺中偏漳腔,通書,thong-su
22,春牛圖,鹿港偏泉腔,春牛圖,tshun-giû-tôo
22,春牛圖,鹿港偏泉腔,春牛圖,tshun-gû-tôo
22,春牛圖,三峽偏泉腔,春牛圖,tshun-gû-tôo
22,春牛圖,臺北偏泉腔,春牛圖,tshun-gû-tôo
22,春牛圖,宜蘭偏漳腔,春牛圖,tshun-gû-tôo
22,春牛圖,臺南混合腔,春牛圖,tshun-gû-tôo
22,春牛圖,高雄混合腔,春牛圖,tshun-gû-tôo
22,春牛圖,金門偏泉腔,春牛圖,tshing-gû-tôo
22,春牛圖,馬公偏泉腔,春牛圖,tshun-gû-tôo
22,春牛圖,新竹偏泉腔,春牛圖,tshun-gû-tôo
22,春牛圖,臺中偏漳腔,春牛圖,tshun-gû-tôo
23,漫畫書,新竹偏泉腔,bàng-gà,bàng-gà
23,漫畫書,鹿港偏泉腔,人仔書,lâng-á-tsir
23,漫畫書,三峽偏泉腔,尪仔書,ang-á-tsir
23,漫畫書,臺北偏泉腔,尪仔書,ang-á-tsu
23,漫畫書,宜蘭偏漳腔,尪仔冊,ang-á-tsheh
23,漫畫書,臺南混合腔,尪仔冊,ang-á-tsheh
23,漫畫書,高雄混合腔,尪仔冊,ang-á-tsheh
23,漫畫書,金門偏泉腔,人仔書,lâng-á-tsir
23,漫畫書,馬公偏泉腔,尪仔書,ang-á-tsu
23,漫畫書,臺中偏漳腔,尪仔冊,ang-á-tsheh
24,歌仔戲,臺南混合腔,歌仔戲,kua-á-hì
24,歌仔戲,鹿港偏泉腔,歌仔戲,kua-á-hì
24,歌仔戲,三峽偏泉腔,歌仔戲,kua-á-hì
24,歌仔戲,臺北偏泉腔,歌仔戲,kua-á-hì
24,歌仔戲,宜蘭偏漳腔,歌仔戲,kua-á-hì
24,歌仔戲,高雄混合腔,歌仔戲,kua-á-hì
24,歌仔戲,金門偏泉腔,歌仔戲,kuai-á-hì
24,歌仔戲,馬公偏泉腔,歌仔戲,kuai-á-hì
24,歌仔戲,新竹偏泉腔,歌仔戲,kua-á-hì
24,歌仔戲,臺中偏漳腔,歌仔戲,kua-á-hì
25,玩偶,三峽偏泉腔,o-lín-gio,o-lín-gio
25,玩偶,鹿港偏泉腔,人仔,lâng-á
25,玩偶,臺北偏泉腔,尪公仔,ang-kong-á
25,玩偶,宜蘭偏漳腔,尪仔,ang-á
25,玩偶,臺南混合腔,尪仔,ang-á
25,玩偶,高雄混合腔,尪仔,ang-á
25,玩偶,金門偏泉腔,人仔,lâng--á
25,玩偶,宜蘭偏漳腔,o-lín-gió,o-lín-gió
25,玩偶,臺南混合腔,o-lín-gió,o-lín-gió
25,玩偶,高雄混合腔,o-lín-gió,o-lín-gió
25,玩偶,馬公偏泉腔,o-lín-gio̍h,o-lín-gio̍h
25,玩偶,新竹偏泉腔,o-lín-gió,o-lín-gió
25,玩偶,臺中偏漳腔,洋娃娃,ia̋ng-uá-ua
28,盪鞦韆,鹿港偏泉腔,幌韆鞦,hàinn-tshian-tshiu
