詞目id,詞目類型,漢字,羅馬字,分類,羅馬字音檔檔名
1,主詞目,一【替】,tsi̍t,"性質、程度,數詞、量詞",1(1)
2,主詞目,一,it,"性質、程度,數詞、量詞",2(1)
3,主詞目,一刀兩斷,it-to-lióng-tuān,交際應酬,3(1)
4,主詞目,一下,tsi̍t-ē,"性質、程度,助詞、嘆詞,副詞",4(1)
5,主詞目,一月日,tsi̍t gue̍h-ji̍t/tsi̍t ge̍h-li̍t,時間節令,5(1)
6,主詞目,一日到暗,tsi̍t-ji̍t-kàu-àm/tsi̍t-li̍t-kàu-àm,時間節令,6(1)
7,主詞目,一世人,tsi̍t-sì-lâng,"時間節令,生養老死",7(1)
8,主詞目,一半,tsi̍t-puànn,數詞、量詞,8(1)
9,主詞目,一半个仔,tsi̍t-puànn-ê-á,數詞、量詞,9(1)
10,主詞目,一半日仔,tsi̍t-puànn-ji̍t-á/tsi̍t-puànn-li̍t-á,時間節令,10(1)
11,主詞目,一四界,tsi̍t-sì-kè/tsi̍t-sì-kuè,空間方位,11(1)
12,主詞目,一旦,it-tàn,副詞,12(1)
13,主詞目,一生,it-sing,"時間節令,生養老死",13(1)
14,主詞目,一目𥍉仔,tsi̍t-ba̍k-nih-á,時間節令,14(1)
15,主詞目,一甲子,tsi̍t kah-tsí,"時間節令,生養老死",15(1)
16,主詞目,一百空一,tsi̍t-pah khòng-it,數詞、量詞,16(1)
17,主詞目,一來,it--lâi,副詞,17(1)
18,主詞目,一定,it-tīng,"境況、狀態-擬事,副詞",18(1)
19,主詞目,一直,it-ti̍t,副詞,19(1)
20,主詞目,一律,it-lu̍t,副詞,20(1)
21,主詞目,一致,it-tì,,21(1)
22,主詞目,一面,tsi̍t-bīn,副詞,22(1)
23,主詞目,一垺屎,tsi̍t-pû-sái,,23(1)
24,主詞目,一屑仔,tsi̍t-sut-á,性質、程度,24(1)
25,主詞目,一家伙仔,tsi̍t-ke-hué-á/tsi̍t-ke-hé-á,宗族、家庭,25(1)
26,主詞目,一般,it-puann,性質、程度,26(1)
27,主詞目,一粒一,it-lia̍p-it,性質、程度,27(1)
28,主詞目,一睏仔,tsi̍t-khùn-á,時間節令,28(1)
29,主詞目,一概,it-khài,性質、程度,29(1)
30,主詞目,一路,tsi̍t-lōo,旅行,30(1)
31,主詞目,一寡,--tsi̍t-kuá,性質、程度,31(1)
32,主詞目,一寡仔,tsi̍t-kuá-á,性質、程度,32(1)
33,主詞目,一對時,tsi̍t tuì-sî,時間節令,33(1)
34,主詞目,一霎仔久,tsi̍t-tiap-á-kú,時間節令,34(1)
35,主詞目,一點仔,tsi̍t-tiám-á,性質、程度,35(1)
36,主詞目,一礐屎,tsi̍t-ha̍k-sái,,36(1)
37,主詞目,一觸久仔,tsi̍t-tak-kú-á,時間節令,37(1)
38,主詞目,乙,it,"時間節令,性質、程度",38(1)
39,主詞目,丁,ting,"時間節令,泛稱,宗族、家庭",39(1)
40,主詞目,七,tshit,數詞、量詞,40(1)
41,主詞目,九,【白】káu,"性質、程度,數詞、量詞",41(1)
42,主詞目,九,【文】kiú,"性質、程度,數詞、量詞",42(1)
43,主詞目,了,liáu,,43(1)
44,主詞目,二,jī/lī,數詞、量詞,44(1)
45,主詞目,人,jîn/lîn,泛稱,45(1)
46,主詞目,人【替】,lâng,泛稱,46(1)
47,主詞目,入,ji̍p/li̍p,"財務單位、活動,一般動詞-行為動詞",47(1)
48,主詞目,八,【文】pat,數詞、量詞,48(1)
49,主詞目,八,【白】peh/pueh,數詞、量詞,49(1)
50,主詞目,刀,to,"生活用品,數詞、量詞",50(1)
51,主詞目,刁,tiau,"心理狀態,待人處事",51(1)
52,主詞目,力,【白】la̍t,反應、表情,52(1)
53,主詞目,力,【文】li̍k,事、物泛稱,53(1)
54,主詞目,十,【白】tsa̍p,"性質、程度,數詞、量詞",54(1)
55,主詞目,十,【文】si̍p,"性質、程度,數詞、量詞",55(1)
56,主詞目,卜【替】,poh,"宗族、家庭,心理活動,相關器具、活動",56(1)
57,主詞目,卜,pok,"宗族、家庭,心理活動,相關器具、活動",57(1)
58,主詞目,又,iū,副詞,58(1)
59,主詞目,十一哥,tsa̍p-it-ko,泛稱,59(1)
60,主詞目,了了,liáu-liáu,"境況、狀態-擬事,副詞",60(1)
61,主詞目,了了,--liáu-liáu,"境況、狀態-擬事,副詞",61(1)
62,主詞目,人人,lâng-lâng,泛稱,62(1)
63,主詞目,十二分,tsa̍p-jī-hun/tsa̍p-lī-hun,性質、程度,63(1)
64,主詞目,十二生相,tsa̍p-jī senn-siùnn/tsa̍p-lī sinn-siùnn,神明、鬼怪、教派,64(1)
65,主詞目,十二指腸,si̍p-jī-tsí-tn̂g/si̍p-lī-tsí-tn̂g,生理構造,65(1)
66,主詞目,二九暝,Jī-káu-mê/Lī-káu-mî,時間節令,66(1)
67,主詞目,十八骰仔,si̍p-pat-tâu-á,休閒、娛樂,67(1)
68,主詞目,十八變,tsa̍p-peh-piàn/tsa̍p-pueh-piàn,形貌、體積,68(1)
69,主詞目,七夕,tshit-sia̍h,"時間節令,生活狀況,相關器具、活動",69(1)
70,主詞目,了工,liáu-kang,,70(1)
71,主詞目,人工,lâng-kang,"泛稱,服務業及其他,錢財資產",71(1)
72,主詞目,人才,lâng-tsâi,體態樣貌,72(1)
73,主詞目,入土,ji̍p-thóo/li̍p-thóo,生養老死,73(1)
74,主詞目,刁工,thiau-kang,心理狀態,74(1)
75,主詞目,人中,jîn-tiong/lîn-tiong,生理構造,75(1)
