詞目id,詞目漢字,對應詞目id,對應詞目漢字
23,一垺屎,36,一礐屎
36,一礐屎,23,一垺屎
120,人面,155,人頭
121,人倫,5757,倫理
121,人倫,18722,倫常
136,人情世事,105,人事
136,人情世事,135,人情
139,人造,71,人工
244,小丑仔,627,丑仔
264,三太子,17903,太子爺
264,三太子,18329,李哪吒
305,大同仔,17821,大粒番薑
305,大同仔,18535,青番薑仔
307,也好,19384,嘛好
344,小叔,7744,細叔
344,小叔,19016,細叔仔
344,小叔,19023,細漢叔仔
362,大房,18524,長房
374,久長病,17812,久病
374,久長病,19400,慢性病
380,上帝公,18105,玄天上帝
380,上帝公,18583,帝爺公
396,乞食,17874,分食的
396,乞食,17892,分錢的
425,小鬼仔殼,18911,假面具
426,三除四扣,17740,七扣八除
426,三除四扣,18237,扣東扣西
439,工場,509,工廠
450,口琴,19092,喙琴
474,山腰,18006,半山腰
484,大跤胴,19326,腫跤胴
509,工廠,439,工場
556,大廳,4895,客廳
556,大廳,13374,廳
556,大廳,13379,廳堂
581,冗,12966,櫳
611,不止,921,毋但
618,切手,9127,郵票
627,丑仔,244,小丑仔
631,中古,18041,半新舊
631,中古,18051,半舊落仔
647,今年,18067,本年
656,不但,921,毋但
705,分配,657,分伻
705,分配,726,分發
705,分配,769,分攤
717,公眾,7644,眾人
718,介紹,7732,紹介
718,介紹,17982,引薦
718,介紹,22320,引進
726,分發,657,分伻
726,分發,705,分配
736,中傷,5018,挖空
736,中傷,19401,摔後炮
736,中傷,19719,鑿空
766,中醫,10638,漢醫
768,分鐘,584,分
816,歹𤆬頭,17942,歹鬼𤆬頭
821,天九牌,19009,章牌
828,日子,801,日
828,日子,17909,日仔
832,孔子公,17900,孔子
833,手巾仔,17901,手巾
837,天井,1081,天窗
837,天井,7519,深井
855,文文仔笑,19269,微微仔笑
866,水仙,17910,水仙花
950,水芋仔,18782,浮水蓮花
972,天狗熱,18887,骨疼熱
972,天狗熱,19171,登革熱
978,毋知死,17933,毋知死活
983,方便,2988,利便
983,方便,23016,便利
